time	V(input_signal)	V(v_out)
3.405374462028188e-05	1.702687e-01	4.939292e-05
3.411608560116638e-05	1.705804e-01	4.979567e-05
3.426698601957200e-05	1.713349e-01	5.111765e-05
3.441308874750469e-05	1.720654e-01	5.221173e-05
3.452097023288556e-05	1.726048e-01	5.281594e-05
3.462418086268494e-05	1.731209e-01	5.320414e-05
3.474175043883558e-05	1.737088e-01	5.352762e-05
3.485659622419263e-05	1.742830e-01	5.390819e-05
3.496620178611073e-05	1.748310e-01	5.438130e-05
3.525518685951444e-05	1.762759e-01	5.591275e-05
3.544305391964616e-05	1.772153e-01	5.690668e-05
3.593343364588765e-05	1.796672e-01	5.940923e-05
3.609117547285303e-05	1.804559e-01	6.025246e-05
3.661474816046764e-05	1.830737e-01	6.320143e-05
3.687978862567514e-05	1.843989e-01	6.474968e-05
3.704869583431047e-05	1.852435e-01	6.561480e-05
3.707954720064208e-05	1.853977e-01	6.581855e-05
3.709930004578864e-05	1.854965e-01	6.598349e-05
3.711413311819937e-05	1.855707e-01	6.608955e-05
3.712595518226514e-05	1.856298e-01	6.620565e-05
3.713903001683643e-05	1.856952e-01	6.648240e-05
3.715262378957247e-05	1.857631e-01	6.700631e-05
3.716931465327674e-05	1.858466e-01	6.786034e-05
3.718998917191432e-05	1.859500e-01	6.905183e-05
3.727229380682329e-05	1.863615e-01	7.445810e-05
3.728879134200393e-05	1.864440e-01	7.542249e-05
3.732178641236522e-05	1.866089e-01	7.730986e-05
3.737598144680950e-05	1.868799e-01	7.981139e-05
3.743104230494975e-05	1.871552e-01	8.155216e-05
3.748702919566755e-05	1.874352e-01	8.251528e-05
3.754523510315051e-05	1.877262e-01	8.282915e-05
3.760762080675048e-05	1.880381e-01	8.261149e-05
3.766727587445013e-05	1.883364e-01	8.215032e-05
3.772753202093952e-05	1.886377e-01	8.178116e-05
3.777981092459595e-05	1.888991e-01	8.166896e-05
3.783447391854813e-05	1.891724e-01	8.177912e-05
3.789526129341873e-05	1.894763e-01	8.225754e-05
3.796234421311552e-05	1.898117e-01	8.310119e-05
3.811295397897768e-05	1.905648e-01	8.552495e-05
3.822620351313766e-05	1.911310e-01	8.728594e-05
3.831590064536912e-05	1.915795e-01	8.849912e-05
3.841559660581850e-05	1.920780e-01	8.965558e-05
3.852936048101415e-05	1.926468e-01	9.077548e-05
3.864000445946465e-05	1.932000e-01	9.193210e-05
3.878010324276311e-05	1.939005e-01	9.360441e-05
3.880160978285929e-05	1.940081e-01	9.390160e-05
3.890283381146742e-05	1.945142e-01	9.518027e-05
3.900405784007555e-05	1.950203e-01	9.646794e-05
3.910528186868368e-05	1.955264e-01	9.776461e-05
3.920650589729181e-05	1.960325e-01	9.907029e-05
3.930772992589994e-05	1.965386e-01	1.003850e-04
3.940895395450807e-05	1.970448e-01	1.017087e-04
3.951017798311619e-05	1.975509e-01	1.030413e-04
3.966721520284452e-05	1.983361e-01	1.050584e-04
3.997609905169467e-05	1.998805e-01	1.092956e-04
4.026829176722642e-05	2.013415e-01	1.132448e-04
4.078459734460342e-05	2.039230e-01	1.205391e-04
4.100018050051240e-05	2.050009e-01	1.238782e-04
4.106081469559968e-05	2.053041e-01	1.255258e-04
4.110686287395354e-05	2.055343e-01	1.278796e-04
4.114113960348516e-05	2.057057e-01	1.303321e-04
4.117426634399963e-05	2.058713e-01	1.329901e-04
4.120876123622505e-05	2.060438e-01	1.357286e-04
4.127775102067588e-05	2.063888e-01	1.405560e-04
4.134166358318392e-05	2.067083e-01	1.440510e-04
4.139792298232686e-05	2.069896e-01	1.461857e-04
4.146065804241104e-05	2.073033e-01	1.477481e-04
4.155422299614091e-05	2.077711e-01	1.482289e-04
4.162075988083975e-05	2.081038e-01	1.487131e-04
4.167351404612393e-05	2.083676e-01	1.491952e-04
4.173544670586347e-05	2.086772e-01	1.500600e-04
4.178740919045346e-05	2.089370e-01	1.511538e-04
4.184409122719561e-05	2.092205e-01	1.526878e-04
4.185648102734542e-05	2.092824e-01	1.531039e-04
4.186887082749524e-05	2.093443e-01	1.535053e-04
4.188126062764506e-05	2.094063e-01	1.538920e-04
4.189365042779487e-05	2.094682e-01	1.542638e-04
4.190604022794469e-05	2.095302e-01	1.546210e-04
4.191843002809450e-05	2.095921e-01	1.549633e-04
4.193081982824432e-05	2.096541e-01	1.552909e-04
4.198918478870299e-05	2.099459e-01	1.572711e-04
4.206597913577281e-05	2.103299e-01	1.596886e-04
4.214751030633082e-05	2.107376e-01	1.621272e-04
4.225004720108353e-05	2.112502e-01	1.650616e-04
4.247890875694692e-05	2.123946e-01	1.709968e-04
4.258643669878167e-05	2.129322e-01	1.738727e-04
4.274361535461094e-05	2.137181e-01	1.783795e-04
4.290079401044019e-05	2.145040e-01	1.829301e-04
4.305797266626946e-05	2.152899e-01	1.875247e-04
4.321515132209872e-05	2.160758e-01	1.921631e-04
4.337232997792799e-05	2.168616e-01	1.968454e-04
4.352950863375725e-05	2.176475e-01	2.015716e-04
4.368668728958651e-05	2.184334e-01	2.063417e-04
4.414322564446650e-05	2.207161e-01	2.204832e-04
4.425197714124709e-05	2.212599e-01	2.238401e-04
4.436072863802767e-05	2.218036e-01	2.272252e-04
4.446948013480825e-05	2.223474e-01	2.306386e-04
4.457823163158884e-05	2.228912e-01	2.340801e-04
4.468698312836942e-05	2.234349e-01	2.375500e-04
4.479573462515001e-05	2.239787e-01	2.410480e-04
4.490448612193059e-05	2.245224e-01	2.445744e-04
4.492048575254536e-05	2.246024e-01	2.450811e-04
4.493430484193394e-05	2.246715e-01	2.455177e-04
4.494648113051642e-05	2.247324e-01	2.460185e-04
4.495969166350239e-05	2.247985e-01	2.467534e-04
4.497347719591792e-05	2.248674e-01	2.477313e-04
4.499064964077224e-05	2.249532e-01	2.492713e-04
4.501224043360964e-05	2.250612e-01	2.515462e-04
4.508602899339790e-05	2.254301e-01	2.601353e-04
4.515638379599866e-05	2.257819e-01	2.679642e-04
4.522992818003947e-05	2.261496e-01	2.749332e-04
4.528671722927037e-05	2.264336e-01	2.791354e-04
4.533774075024723e-05	2.266887e-01	2.818927e-04
4.538792062484923e-05	2.269396e-01	2.838820e-04
4.544191312429207e-05	2.272096e-01	2.856882e-04
4.551357436135132e-05	2.275679e-01	2.880915e-04
4.558766831336698e-05	2.279383e-01	2.908768e-04
4.563193153880905e-05	2.281597e-01	2.928834e-04
4.567763637869327e-05	2.283882e-01	2.953076e-04
4.573065270599390e-05	2.286533e-01	2.984221e-04
4.587292506692456e-05	2.293646e-01	3.075800e-04
4.598734771530894e-05	2.299367e-01	3.150045e-04
4.607683889459323e-05	2.303842e-01	3.205939e-04
4.624247194681473e-05	2.312124e-01	3.302296e-04
4.633738803829835e-05	2.316869e-01	3.357316e-04
4.645574580845639e-05	2.322787e-01	3.427539e-04
4.672115670163283e-05	2.336058e-01	3.593014e-04
4.699281026004326e-05	2.349641e-01	3.765771e-04
4.734386073617797e-05	2.367193e-01	3.990641e-04
4.790307839258640e-05	2.395154e-01	4.360178e-04
4.836758743931303e-05	2.418379e-01	4.674280e-04
4.867867145975371e-05	2.433934e-01	4.887177e-04
4.878361923352304e-05	2.439181e-01	4.960513e-04
4.879596397524255e-05	2.439798e-01	4.968939e-04
4.882065345868156e-05	2.441033e-01	4.985476e-04
4.883615388002882e-05	2.441808e-01	4.996472e-04
4.884956165445026e-05	2.442478e-01	5.006847e-04
4.886416446715695e-05	2.443208e-01	5.021117e-04
4.887853870966019e-05	2.443927e-01	5.038725e-04
4.889660534847687e-05	2.444830e-01	5.064475e-04
4.891960720267734e-05	2.445980e-01	5.102474e-04
4.895555324622190e-05	2.447778e-01	5.167854e-04
4.899922560761679e-05	2.449961e-01	5.250343e-04
4.907366186735201e-05	2.453683e-01	5.388235e-04
4.913888262641947e-05	2.456944e-01	5.498025e-04
4.919066617030336e-05	2.459533e-01	5.573290e-04
4.924101289763490e-05	2.462051e-01	5.634671e-04
4.929045671910170e-05	2.464523e-01	5.685873e-04
4.939651702997976e-05	2.469826e-01	5.781593e-04
4.945067786392432e-05	2.472534e-01	5.830642e-04
4.949172734991369e-05	2.474586e-01	5.870317e-04
4.954008324071628e-05	2.477004e-01	5.921259e-04
4.959506249952123e-05	2.479753e-01	5.984445e-04
4.965285039586502e-05	2.482643e-01	6.055573e-04
4.981430646563522e-05	2.490715e-01	6.270472e-04
4.992489027078972e-05	2.496244e-01	6.417271e-04
5.000332629771816e-05	2.500166e-01	6.518313e-04
5.009978687859467e-05	2.504989e-01	6.638259e-04
5.022601107431223e-05	2.511300e-01	6.791199e-04
5.027748049008218e-05	2.513874e-01	6.854762e-04
5.036909168087867e-05	2.518454e-01	6.971539e-04
5.055384567158161e-05	2.527692e-01	7.215316e-04
5.081022742459129e-05	2.540511e-01	7.557077e-04
5.101513781742664e-05	2.550757e-01	7.828111e-04
5.118466450796993e-05	2.559233e-01	8.057920e-04
5.135419119851322e-05	2.567709e-01	8.289254e-04
5.152371788905650e-05	2.576186e-01	8.522114e-04
5.169324457959979e-05	2.584662e-01	8.756499e-04
5.186277127014307e-05	2.593138e-01	8.992409e-04
5.203229796068636e-05	2.601615e-01	9.229845e-04
5.220182465122965e-05	2.610091e-01	9.468806e-04
5.242852075827559e-05	2.621426e-01	9.790593e-04
5.272082767487157e-05	2.636041e-01	1.021474e-03
5.279482710264775e-05	2.639741e-01	1.034296e-03
5.285602284839516e-05	2.642801e-01	1.048332e-03
5.289225290049520e-05	2.644613e-01	1.058758e-03
5.292967752634563e-05	2.646484e-01	1.070805e-03
5.296852927902102e-05	2.648427e-01	1.083728e-03
5.304623278437180e-05	2.652312e-01	1.109463e-03
5.311713312168257e-05	2.655857e-01	1.131413e-03
5.316650998185293e-05	2.658325e-01	1.145149e-03
5.321167872544495e-05	2.660584e-01	1.156340e-03
5.335479298590770e-05	2.667740e-01	1.185840e-03
5.339474786999352e-05	2.669737e-01	1.193601e-03
5.343379536484473e-05	2.671690e-01	1.201465e-03
5.348103859502977e-05	2.674052e-01	1.211523e-03
5.353002976087928e-05	2.676502e-01	1.222755e-03
5.358692946048559e-05	2.679347e-01	1.236822e-03
5.372627344351883e-05	2.686314e-01	1.274271e-03
5.382460149599785e-05	2.691230e-01	1.301300e-03
5.390505097170705e-05	2.695253e-01	1.323028e-03
5.397367084328512e-05	2.698683e-01	1.340903e-03
5.412975581046730e-05	2.706488e-01	1.380070e-03
5.427926990828253e-05	2.713963e-01	1.417396e-03
5.436372304793943e-05	2.718186e-01	1.439339e-03
5.452756394832128e-05	2.726378e-01	1.483529e-03
5.464449594775109e-05	2.732225e-01	1.515437e-03
5.478516278451507e-05	2.739258e-01	1.553457e-03
5.498600109451898e-05	2.749300e-01	1.607044e-03
5.512919254289502e-05	2.756460e-01	1.646178e-03
5.527238399127105e-05	2.763619e-01	1.685467e-03
5.541557543964709e-05	2.770779e-01	1.724913e-03
5.555876688802314e-05	2.777938e-01	1.764516e-03
5.570195833639918e-05	2.785098e-01	1.804274e-03
5.584514978477521e-05	2.792258e-01	1.844189e-03
5.598834123315125e-05	2.799417e-01	1.884260e-03
5.642902425798365e-05	2.821451e-01	2.008438e-03
5.654697812353445e-05	2.827349e-01	2.041413e-03
5.663446026084282e-05	2.831723e-01	2.066014e-03
5.666822639329543e-05	2.833411e-01	2.076071e-03
5.669377719591553e-05	2.834689e-01	2.084696e-03
5.671974773001342e-05	2.835988e-01	2.094926e-03
5.674286682515531e-05	2.837143e-01	2.105383e-03
5.681492273205681e-05	2.840746e-01	2.144732e-03
5.689154897311884e-05	2.844577e-01	2.190970e-03
5.690838167540503e-05	2.845419e-01	2.201731e-03
5.694204707997741e-05	2.847102e-01	2.223291e-03
5.700650957423397e-05	2.850325e-01	2.263471e-03
5.705807013304176e-05	2.852904e-01	2.293464e-03
5.709761055007305e-05	2.854880e-01	2.314256e-03
5.713399040124142e-05	2.856700e-01	2.331627e-03
5.726325646617401e-05	2.863163e-01	2.384262e-03
