time	V(input_signal)	V(v_out)	I(Speaker)
7.271951284964229e-07	2.509138e+00	2.071623e+00	2.589529e-01
7.277131325461618e-07	2.509145e+00	2.071623e+00	2.589529e-01
7.287491406456395e-07	2.509158e+00	2.071623e+00	2.589529e-01
7.373330702234199e-07	2.509266e+00	2.071622e+00	2.589527e-01
7.385216604854440e-07	2.509280e+00	2.071622e+00	2.589528e-01
7.401823702752134e-07	2.509301e+00	2.071622e+00	2.589528e-01
7.407346168896984e-07	2.509308e+00	2.071622e+00	2.589528e-01
7.419164926604459e-07	2.509323e+00	2.071623e+00	2.589528e-01
7.430983684311936e-07	2.509338e+00	2.071623e+00	2.589528e-01
7.442802442019412e-07	2.509353e+00	2.071623e+00	2.589528e-01
7.454621199726887e-07	2.509368e+00	2.071623e+00	2.589528e-01
7.466439957434363e-07	2.509383e+00	2.071622e+00	2.589528e-01
7.478258715141839e-07	2.509397e+00	2.071622e+00	2.589528e-01
7.490077472849315e-07	2.509412e+00	2.071622e+00	2.589528e-01
7.518112497020254e-07	2.509448e+00	2.071622e+00	2.589528e-01
7.568860648234173e-07	2.509511e+00	2.071623e+00	2.589529e-01
7.581798381232460e-07	2.509527e+00	2.071623e+00	2.589528e-01
7.607291733554606e-07	2.509560e+00	2.071622e+00	2.589528e-01
7.622940147590618e-07	2.509579e+00	2.071622e+00	2.589528e-01
7.637133744532614e-07	2.509597e+00	2.071622e+00	2.589528e-01
7.646752717318959e-07	2.509609e+00	2.071622e+00	2.589527e-01
7.675348454126746e-07	2.509645e+00	2.071622e+00	2.589527e-01
7.733393247110325e-07	2.509718e+00	2.071621e+00	2.589526e-01
7.762741488401821e-07	2.509755e+00	2.071621e+00	2.589526e-01
7.780155190090580e-07	2.509777e+00	2.071621e+00	2.589526e-01
7.795999484727649e-07	2.509797e+00	2.071621e+00	2.589527e-01
7.827679934916276e-07	2.509836e+00	2.071621e+00	2.589526e-01
7.881467491962407e-07	2.509904e+00	2.071622e+00	2.589527e-01
8.504807820366742e-07	2.510687e+00	2.071628e+00	2.589535e-01
9.128148148771076e-07	2.511471e+00	2.071667e+00	2.589584e-01
9.751488477175411e-07	2.512254e+00	2.071739e+00	2.589674e-01
1.037482880557975e-06	2.513037e+00	2.071843e+00	2.589804e-01
1.099816913398408e-06	2.513820e+00	2.071980e+00	2.589975e-01
1.162150946238842e-06	2.514604e+00	2.072150e+00	2.590187e-01
1.224484979079275e-06	2.515387e+00	2.072352e+00	2.590440e-01
1.422789014555675e-06	2.517879e+00	2.073100e+00	2.591375e-01
1.477422360660469e-06	2.518566e+00	2.073319e+00	2.591649e-01
1.532055706765262e-06	2.519252e+00	2.073514e+00	2.591892e-01
1.586689052870056e-06	2.519939e+00	2.073684e+00	2.592104e-01
1.641322398974850e-06	2.520625e+00	2.073829e+00	2.592286e-01
1.695955745079644e-06	2.521312e+00	2.073950e+00	2.592438e-01
1.750589091184437e-06	2.521998e+00	2.074047e+00	2.592558e-01
1.805222437289231e-06	2.522685e+00	2.074119e+00	2.592649e-01
1.918885966059221e-06	2.524113e+00	2.074205e+00	2.592757e-01
