time	V(dac_out)	V(after_filter)
3.243890870595016e-06	3.266602e+00	2.634039e+00
3.253890870595016e-06	3.276367e+00	2.634827e+00
3.263890870595016e-06	3.281250e+00	2.635616e+00
3.315140870595016e-06	3.281250e+00	2.639676e+00
3.322640870595016e-06	3.281250e+00	2.640273e+00
3.332640870595016e-06	3.286133e+00	2.641069e+00
3.342640870595015e-06	3.295898e+00	2.641864e+00
3.356390870595016e-06	3.300781e+00	2.642958e+00
3.410140870595015e-06	3.300781e+00	2.647250e+00
3.420140870595015e-06	3.305664e+00	2.648049e+00
3.431390870595015e-06	3.320312e+00	2.648948e+00
3.438890870595015e-06	3.320312e+00	2.649550e+00
3.447283727737872e-06	3.320312e+00	2.650223e+00
3.455676584880729e-06	3.320312e+00	2.650896e+00
3.464069442023586e-06	3.320312e+00	2.651569e+00
3.472462299166444e-06	3.320312e+00	2.652243e+00
3.480855156309301e-06	3.320312e+00	2.652918e+00
3.489248013452158e-06	3.320312e+00	2.653593e+00
3.497640870595015e-06	3.320312e+00	2.654268e+00
3.507640870595015e-06	3.325195e+00	2.655073e+00
3.517640870595015e-06	3.334961e+00	2.655879e+00
3.527640870595015e-06	3.339844e+00	2.656685e+00
3.586390870595014e-06	3.339844e+00	2.661440e+00
3.596390870595014e-06	3.344727e+00	2.662252e+00
3.606390870595014e-06	3.354492e+00	2.663067e+00
3.616390870595014e-06	3.359375e+00	2.663882e+00
3.676390870595013e-06	3.359375e+00	2.668799e+00
3.686390870595013e-06	3.364258e+00	2.669623e+00
3.696390870595013e-06	3.374023e+00	2.670449e+00
3.706390870595013e-06	3.378906e+00	2.671276e+00
3.766390870595012e-06	3.378906e+00	2.676280e+00
3.776390870595012e-06	3.383789e+00	2.677121e+00
3.786390870595012e-06	3.393555e+00	2.677963e+00
3.796390870595012e-06	3.398438e+00	2.678809e+00
3.856390870595012e-06	3.398438e+00	2.683928e+00
3.866390870595012e-06	3.403320e+00	2.684788e+00
3.876390870595012e-06	3.413086e+00	2.685652e+00
3.886390870595012e-06	3.417969e+00	2.686519e+00
3.946390870595011e-06	3.417969e+00	2.691768e+00
3.956390870595011e-06	3.422852e+00	2.692653e+00
3.967640870595011e-06	3.437500e+00	2.693649e+00
3.975140870595012e-06	3.437500e+00	2.694316e+00
4.035140870595011e-06	3.437500e+00	2.699707e+00
4.045140870595011e-06	3.442383e+00	2.700614e+00
4.055140870595011e-06	3.452148e+00	2.701523e+00
4.065140870595011e-06	3.457031e+00	2.702434e+00
