time	V(in)	V(out1)	V(out2)
3.377917899103917e-02	1.689869e+00	4.723327e+00	4.973475e+00
3.405819684818202e-02	1.704182e+00	4.723327e+00	4.973475e+00
3.433721470532489e-02	1.718132e+00	4.723327e+00	4.973475e+00
3.461623256246774e-02	1.731721e+00	4.723327e+00	4.973475e+00
3.489525041961060e-02	1.744948e+00	4.723327e+00	4.973475e+00
3.517426827675346e-02	1.757812e+00	4.723327e+00	4.973475e+00
3.555791783032489e-02	1.777344e+00	4.723327e+00	4.973475e+00
3.594156738389631e-02	1.796875e+00	4.723327e+00	4.973475e+00
3.632521693746774e-02	1.816406e+00	4.723327e+00	4.973475e+00
3.670886649103917e-02	1.835938e+00	4.723327e+00	4.973475e+00
3.709251604461060e-02	1.855469e+00	4.723327e+00	4.973475e+00
3.747616559818203e-02	1.875000e+00	4.723327e+00	4.973475e+00
3.785981515175346e-02	1.894531e+00	4.723327e+00	4.973475e+00
3.852248256246774e-02	1.927311e+00	4.723327e+00	4.973475e+00
3.918514997318202e-02	1.960092e+00	4.723327e+00	4.973475e+00
3.984781738389631e-02	1.992875e+00	4.723327e+00	4.973475e+00
4.051048479461060e-02	2.025659e+00	4.723327e+00	4.973475e+00
4.117315220532489e-02	2.058445e+00	4.723327e+00	4.973475e+00
4.183581961603917e-02	2.091234e+00	4.723327e+00	4.973475e+00
4.249848702675346e-02	2.124023e+00	4.723327e+00	4.973475e+00
4.316115443746774e-02	2.157521e+00	4.723327e+00	4.973475e+00
4.382382184818202e-02	2.191014e+00	4.723327e+00	4.973475e+00
4.448648925889631e-02	2.224501e+00	4.723327e+00	4.973475e+00
4.514915666961060e-02	2.257983e+00	4.723327e+00	4.973475e+00
4.581182408032489e-02	2.291460e+00	4.723327e+00	4.973475e+00
4.647449149103917e-02	2.324932e+00	4.723327e+00	4.973475e+00
4.713715890175346e-02	2.358398e+00	4.723327e+00	4.973475e+00
4.738129952675346e-02	2.363281e+00	4.723327e+00	4.973475e+00
4.746092015630248e-02	2.363281e+00	4.723327e+00	4.973475e+00
4.746093505746368e-02	2.371094e+00	4.723327e+00	4.973475e+00
4.746093878275397e-02	2.380859e+00	4.723327e+00	4.973475e+00
4.746093971407655e-02	2.382812e+00	4.723327e+00	4.973475e+00
4.746094041256848e-02	2.382812e+00	4.723327e+00	4.973475e+00
4.746094134389105e-02	2.382812e+00	4.723327e+00	4.973475e+00
4.746094183911403e-02	2.382812e+00	4.723327e+00	4.973475e+00
4.746094271131323e-02	2.382812e+00	4.626347e+00	4.973475e+00
4.746094370175918e-02	2.382812e+00	4.205060e+00	4.973475e+00
4.746094470175918e-02	2.382812e+00	3.472689e+00	4.973475e+00
4.746094570175918e-02	2.382812e+00	2.636266e+00	4.973475e+00
4.746094670175918e-02	2.382812e+00	1.799844e+00	4.973475e+00
4.746094770175917e-02	2.382812e+00	9.808636e-01	4.973475e+00
4.746094870175917e-02	2.382812e+00	4.011713e-01	4.973475e+00
4.746095070175917e-02	2.382812e+00	2.434238e-02	4.973475e+00
4.746095470175917e-02	2.382812e+00	-7.260505e-03	4.973475e+00
4.746096270175917e-02	2.382812e+00	2.825182e-03	4.973475e+00
4.746097870175917e-02	2.382812e+00	-1.247580e-03	4.973475e+00
4.746101070175917e-02	2.382812e+00	5.863458e-04	4.973475e+00
4.746107470175917e-02	2.382812e+00	-2.842458e-04	4.973475e+00
4.746120270175917e-02	2.382812e+00	1.399430e-04	4.973475e+00
4.746145870175917e-02	2.382812e+00	-6.943693e-05	4.973475e+00
4.746197070175917e-02	2.382812e+00	3.458187e-05	4.973475e+00
4.746299470175917e-02	2.382812e+00	-1.725803e-05	4.973475e+00
4.746504270175917e-02	2.382812e+00	8.622184e-06	4.973475e+00
4.746913870175917e-02	2.382812e+00	-4.307678e-06	4.973475e+00
4.774955818390203e-02	2.391558e+00	-2.223159e-06	4.973475e+00
4.802997766604489e-02	2.401806e+00	-6.283960e-07	4.973475e+00
4.831039714818774e-02	2.413556e+00	4.766099e-07	4.973475e+00
4.859081663033060e-02	2.426810e+00	1.091859e-06	4.973475e+00
4.887123611247346e-02	2.441566e+00	1.217352e-06	4.973475e+00
4.915165559461632e-02	2.457824e+00	8.530888e-07	4.973475e+00
4.943207507675917e-02	2.475586e+00	-9.313226e-10	4.973475e+00
4.967621570175917e-02	2.480469e+00	-2.776361e-02	4.973475e+00
4.970673327988417e-02	2.480469e+00	-2.082272e-02	4.973475e+00
4.976776843613417e-02	2.483724e+00	-2.671641e-12	4.973475e+00
4.993122392988236e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.993307726180585e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.993493245637448e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.993678811660440e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.993864144852789e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.994049664309652e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.994234904369743e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.994420563524993e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.994606082981856e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.994791323041947e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.994976656234296e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.995162175691159e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.995347741714151e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.995533074906500e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.995718594363363e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.995903834423454e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.996089493578704e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.996275013035567e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.996460253095658e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.996645586288007e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.996831105744870e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.997016671767862e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.997202004960211e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.997387524417074e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.997572764477165e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.997758423632415e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.997943943089278e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.998129183149369e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.998314516341718e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.998500035798581e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.998685601821573e-02	2.500000e+00	0.000000e+00	4.973475e+00
4.998870935013922e-02	2.500000e+00	0.000000e+00	4.973475e+00
